index,brnpdb_id,common_name,smiles
127,8971,D-Glucose,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
128,1752,α-Terpinolene,CC1=CCC(=C(C)C)CC1
129,8304,D-Arabinose,C([C@H]([C@H]([C@@H](C=O)O)O)O)O
130,9464,D-Ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O
131,9971,D-Xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
132,6231,Arabinose,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O
133,8910,L-Arabinose,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O
134,7881,L-Lyxose,C([C@@H]([C@H]([C@H](C=O)O)O)O)O
135,949,ω-fenil alcanoic acid,C1=CC=C(C=C1)CC(=O)O
136,6715,D-Galacturonic acid,[C@@H]1([C@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
137,6593,D-Glucuronic acid,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
138,1750,γ-Terpinene,C.C.C.CC1=CC=C(CC1)C(C)C.CC1=CCC(=CC1)C(C)C.CC(C)C1=CCC(=C)CC1
139,5788,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5E,8R)-",C/C/1=C\CCC(=C)/C=C/[C@@H](CC1)C(C)C
140,6561,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5E,8S)-",C/C/1=C\CC/C(=C/C[C@H](CC1)C(=C)C)/C
141,9705,"1,5-Cyclodecadiene, 1,5-dimethyl-8-(1-methylethenyl)-, (1E,5Z,8S)-",CC1=CCCC(=CC[C@H](CC1)C(=C)C)C
142,1745,"1,8-Cineole",CC1(C2CCC(O1)(CC2)C)C
143,3046,Malic acid,C(C(C(=O)O)O)C(=O)O
144,9449,"1,4,8-Cycloundecatriene, 2,6,6,9-tetramethyl-, (1E,4E,8E)-",C/C/1=C\CC(/C=C/C/C(=C/CC1)/C)(C)C
145,7404,"12-Oxabicyclo[9.1.0]dodeca-3,7-diene, 1,5,5,8-tetramethyl-, (1R,3E,7E,11R)-",C/C/1=C/CC(/C=C\C[C@@]2([C@H](O2)CC1)C)(C)C
146,9811,"12-Oxabicyclo[9.1.0]dodeca-3,7-diene, 1,5,5,8-tetramethyl-",CC1=CCC(C=CCC2(C(O2)CC1)C)(C)C
147,1828,Benzyl benzoate,C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2
